"n","k","time"
"1000000","10","0.08186559999920427"
"1000000","50","0.08194820000045001"
"1000000","50","0.08299309999868273"
"1000000","50","0.08759150000102818"
"1000000","50","0.081646099999547"
"1000000","50","0.08386920000053942"
"1000000","100","0.08117549999989569"
"1000000","100","0.08196399999968708"
"1000000","100","0.08290010000020266"
"1000000","100","0.08603419999964536"
"1000000","100","0.08215629999898375"
"1000000","1000","0.08231989999860526"
"1000000","1000","0.08414519999921322"
"1000000","1000","0.08262790000066161"
"1000000","1000","0.08111330000124872"
"1000000","1000","0.08144330000132323"
"5000000","5","0.4675144999995828"
"5000000","5","0.46175439999997614"
"5000000","5","0.4582473000008613"
"5000000","5","0.46012749999947844"
"5000000","5","0.46594150000065565"
"5000000","10","0.46906509999930857"
"5000000","10","0.45747910000011327"
"5000000","10","0.4602733000013977"
"5000000","10","0.4700525000002235"
"5000000","10","0.4898574999999255"
"5000000","50","0.47589220000058413"
"5000000","50","0.48631870000064376"
"5000000","50","0.46434549999982117"
"5000000","50","0.4617040999997407"
"5000000","50","0.4649582000002265"
"5000000","100","0.4603024000003934"
"5000000","100","0.4613977999985218"
"5000000","100","0.4841416000016034"
"5000000","100","0.46586920000053944"
"5000000","100","0.4659383000005037"
"5000000","1000","0.4590687999986112"
"5000000","1000","0.46094399999827146"
"5000000","1000","0.45796419999934734"
"5000000","1000","0.4633406000006944"
"5000000","1000","0.45680119999870655"
"10000000","5","0.968975700000301"
"10000000","5","0.9536774000003934"
"10000000","5","0.9607322000004351"
"10000000","5","0.9662099999990315"
"10000000","5","0.9673534999992699"
"10000000","10","0.9542240999992937"
"10000000","10","0.9573007000014185"
"10000000","10","0.9585218000002206"
"10000000","10","0.9575461999997497"
"10000000","10","0.9878690000008792"
"10000000","50","0.9782740000002086"
"10000000","50","0.9633186000008136"
"10000000","50","0.9584430999998004"
"10000000","50","0.9607287000007927"
"10000000","50","0.9594780999999494"
"10000000","100","0.9892582000009715"
"10000000","100","0.9561385000012815"
"10000000","100","0.9581900999993086"
"10000000","100","0.956012499999255"
"10000000","100","0.9606936000008136"
"10000000","1000","0.9592183999996632"
"10000000","1000","0.96198929999955"
"10000000","1000","0.9882890000008047"
"10000000","1000","0.9567805000003428"
"10000000","1000","0.991313599999994"
"20000000","5","2.047370000001043"
"20000000","5","1.9719781999997794"
"20000000","5","1.9780601000003517"
"20000000","5","1.999897199999541"
"20000000","5","1.9723292000014334"
"20000000","10","1.9874751000013202"
"20000000","10","1.9869697000011801"
"20000000","10","2.0377832999993117"
"20000000","10","2.0764138000011445"
"20000000","10","2.008903699999675"
"20000000","50","1.9917126999981702"
"20000000","50","1.9688849999997764"
"20000000","50","1.972282700000331"
"20000000","50","1.984519200000912"
"20000000","50","1.9909319000001997"
"20000000","100","1.9663852999992668"
"20000000","100","2.042892000000924"
"20000000","100","1.9669680000003427"
"20000000","100","1.996350800000131"
"20000000","100","1.9747721000015737"
"20000000","1000","2.003041600000113"
"20000000","1000","1.981033800000325"
"20000000","1000","1.9861637999992818"
"20000000","1000","1.9695855000000446"
"20000000","1000","2.153599899999797"
"50000000","5","5.165176400000229"
"50000000","5","5.171918700000271"
"50000000","5","5.320039200000465"
"50000000","5","5.168738600000739"
"50000000","5","5.151746300000697"
"50000000","10","5.227819599999115"
"50000000","10","5.193998600000516"
"50000000","10","5.1264049999993295"
"50000000","10","5.227705599999055"
"50000000","10","5.178732700001448"
"50000000","50","5.186542400000617"
"50000000","50","5.197260099999607"
"50000000","50","5.165352499999106"
"50000000","50","5.193822699999437"
"50000000","50","5.236276599999517"
"50000000","100","5.157245999999344"
"50000000","100","5.165411600001156"
"50000000","100","5.277015200000256"
"50000000","100","5.225567700002342"
"50000000","100","5.127945999998599"
"50000000","1000","5.312492100000381"
"50000000","1000","5.188396299999207"
"50000000","1000","5.198189699999988"
"50000000","1000","5.290142000000924"
"50000000","1000","5.17748540000245"
