"n","k","time"
"20000000","1000","5.302673200000077"
"20000000","1000","5.132553899999708"
"20000000","1000","5.235493800001219"
"20000000","1000","5.4395632000006735"
"50000000","5","13.694183699999005"
"50000000","5","13.693957499999552"
"50000000","5","14.114809100000187"
"50000000","5","13.649888700000941"
"50000000","5","13.707471300000325"
"50000000","10","13.923002299999819"
"50000000","10","13.766047399999573"
"50000000","10","13.631332600001246"
"50000000","10","14.073108100000768"
"50000000","10","13.689232799999417"
"50000000","50","13.692655899999663"
"50000000","50","13.874258899999782"
"50000000","50","13.57729089999944"
"50000000","50","13.8827957000006"
"50000000","50","13.97238550000079"
"50000000","100","13.656081100000069"
"50000000","100","13.699336399998517"
"50000000","100","13.849850500002503"
"50000000","100","13.72184160000086"
"50000000","100","13.700056600000709"
"50000000","1000","14.272742100000382"
"50000000","1000","13.799002600003034"
"50000000","1000","13.739994400002063"
"50000000","1000","13.876419600002468"
"50000000","1000","13.88612160000205"
